creature_id,name,description,source_file,pet_value,max_age,body_size,gait_speed,lays_eggs,clutch_min,clutch_max,milkable,shearable,is_webber,is_nopain,is_noexert,is_nobreathe,is_extravision,is_trapavoid,is_mount,is_pack,is_wagon,combat_rating,economic_rating,biomes,creature_classes,is_aquatic,is_amphibious,is_prehistoric,is_animal_person,is_megabeast,is_semimegabeast,included_in_mod,exclusion_reason
ANACONDA,anaconda,A medium-sized snake that lives in the trees.  It eats prey much larger than itself and slays them by crushing them to death.,creature_tropical_new.txt,200,MAXAGE:10:20,100000,8775,False,0,0,False,False,False,False,False,False,False,False,False,False,False,30,35,ANY_TROPICAL_WETLAND,GENERAL_POISON,False,False,False,False,False,False,True,
ANACONDA_MAN,anaconda man,A large anaconda with the torso and arms of a man.,creature_tropical_new.txt,200,MAXAGE:60:80,100000,439,False,0,0,False,False,False,False,False,False,False,False,False,False,False,41,35,ANY_TROPICAL_WETLAND,GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'ANACONDA_MAN' ends with _MAN or _WOMAN
ANOLE,anole,A small lizard with adhesive feet for climbing.  It can change color from brown to green to fit its surroundings.,creature_reptiles.txt,10,MAXAGE:5:7,90,1755,True,1,2,False,False,False,False,False,False,False,False,False,False,False,0,28,ANY_TROPICAL_FOREST,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
ANOLE_MAN,anole man,A person with the head and tail of an anole.,creature_reptiles.txt,10,MAXAGE:60:80,90,293,True,1,2,False,False,False,False,False,False,False,False,False,False,False,12,28,ANY_TROPICAL_FOREST,GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'ANOLE_MAN' ends with _MAN or _WOMAN
ANT,ant,This tiny insect can be found in huge colonies in the dirt.  They overwhelm their enemies with swarms.  Some have poison bites.,creature_insects.txt,,MAXAGE:1:1,1,585,False,0,0,False,False,False,False,False,False,False,False,False,False,False,9,5,NOT_FREEZING,EDIBLE_GROUND_BUG; GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
ANT_MAN,antman,A humanoid with the head and body of an ant.,creature_subterranean.txt,,MAXAGE:5:8,20000,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,35,34,SUBTERRANEAN_CHASM,ANIMAL_PERSON; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'ANT_MAN' ends with _MAN or _WOMAN
ARMADILLO,armadillo,A small mammal with a leathery hide.  It can roll into a ball to escape predators.,creature_large_tropical.txt,20,MAXAGE:10:15,7500,183,False,0,0,False,False,False,False,False,False,False,False,False,False,False,32,24,SAVANNA_TROPICAL; GRASSLAND_TROPICAL; SHRUBLAND_TROPICAL; ANY_TROPICAL_FOREST,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
ARMADILLO MAN,armadillo man,A person with the hide and head of an armadillo.,creature_large_tropical.txt,20,MAXAGE:60:80,7500,183,False,0,0,False,False,False,False,False,False,False,False,False,False,False,32,24,SAVANNA_TROPICAL; GRASSLAND_TROPICAL; SHRUBLAND_TROPICAL; ANY_TROPICAL_FOREST,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_TAG: creature has [APPLY_CREATURE_VARIATION:ANIMAL_PERSON]
"ARMADILLO, GIANT",giant armadillo,A large monster the shape of an armadillo.  It has thick armor for skin.,creature_large_tropical.txt,1000,MAXAGE:10:15,7500,183,False,0,0,False,False,False,False,False,False,False,False,False,False,False,32,39,SAVANNA_TROPICAL; GRASSLAND_TROPICAL; SHRUBLAND_TROPICAL; ANY_TROPICAL_FOREST,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
AXOLOTL,axolotl,A small salamander found in remote lakes.  It has the mysterious ability to regrow limbs.,creature_riverlakepool_new.txt,10,MAXAGE:10:25,200,548,False,0,0,False,False,False,False,False,False,False,False,False,False,False,13,17,LAKE_TROPICAL_SALTWATER; LAKE_TROPICAL_BRACKISHWATER; LAKE_TROPICAL_FRESHWATER,GENERAL_POISON,False,True,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
AXOLOTL_MAN,axolotl man,A person with the head and tail of an axolotl.,creature_riverlakepool_new.txt,10,MAXAGE:60:80,200,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,15,17,LAKE_TROPICAL_SALTWATER; LAKE_TROPICAL_BRACKISHWATER; LAKE_TROPICAL_FRESHWATER,GENERAL_POISON,False,True,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'AXOLOTL_MAN' ends with _MAN or _WOMAN
AYE-AYE,aye-aye,"A small, nocturnal, tree-dwelling mammal.  It uses its long fingers to fish out grubs from the wood.",creature_tropical_new.txt,50,MAXAGE:10:20,2500,274,False,0,0,False,False,False,False,False,False,False,False,False,False,False,26,22,FOREST_TROPICAL_DRY_BROADLEAF; FOREST_TROPICAL_MOIST_BROADLEAF,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
AYE-AYE_MAN,aye-aye man,A person with the head and fingers of an aye-aye.,creature_tropical_new.txt,50,MAXAGE:60:80,2500,274,False,0,0,False,False,False,False,False,False,False,False,False,False,False,26,22,FOREST_TROPICAL_DRY_BROADLEAF; FOREST_TROPICAL_MOIST_BROADLEAF,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'AYE-AYE_MAN' ends with _MAN or _WOMAN
BADGER,badger,A small mammal with a striped face.  It lives in groups and is ferocious in combat.,creature_large_temperate.txt,25,MAXAGE:10:15,15000,366,False,0,0,False,False,False,False,False,False,False,False,False,False,False,33,26,FOREST_TAIGA; ANY_TEMPERATE_FOREST; SHRUBLAND_TEMPERATE; SAVANNA_TEMPERATE; GRASSLAND_TEMPERATE,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BADGER MAN,badger man,A humanoid with the head and stripes of a badger.,creature_large_temperate.txt,25,MAXAGE:60:80,15000,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,34,26,FOREST_TAIGA; ANY_TEMPERATE_FOREST; SHRUBLAND_TEMPERATE; SAVANNA_TEMPERATE; GRASSLAND_TEMPERATE,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_TAG: creature has [APPLY_CREATURE_VARIATION:ANIMAL_PERSON]
"BADGER, GIANT",giant badger,A huge monster the shape of a badger.  It is ferocious in combat.,creature_large_temperate.txt,500,MAXAGE:10:15,15000,366,False,0,0,False,False,False,False,False,False,False,False,False,False,False,33,41,FOREST_TAIGA; ANY_TEMPERATE_FOREST; SHRUBLAND_TEMPERATE; SAVANNA_TEMPERATE; GRASSLAND_TEMPERATE,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BARK_SCORPION,bark scorpion,A tiny yellow bug.  It has pincers and a stinging tail which can prove fatal.,creature_bug_slug_new.txt,,MAXAGE:2:10,3,8775,False,0,0,False,False,False,True,False,False,True,False,False,False,False,11,7,ANY_DESERT; GRASSLAND_TROPICAL; SAVANNA_TROPICAL; SHRUBLAND_TROPICAL; FOREST_TROPICAL_CONIFER,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BARK_SCORPION_MAN,bark scorpion man,"A person with the head, pincers and tail of a bark scorpion.",creature_bug_slug_new.txt,None,MAXAGE:60:80,3,293,False,0,0,False,False,False,True,False,False,True,False,False,False,False,23,7,ANY_DESERT; GRASSLAND_TROPICAL; SAVANNA_TROPICAL; SHRUBLAND_TROPICAL; FOREST_TROPICAL_CONIFER,GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BARK_SCORPION_MAN' ends with _MAN or _WOMAN
BARN_OWL_MAN,barn owl man,A person with the arms and wings of a barn owl.,creature_birds_new.txt,25,MAXAGE:60:80,500,251,True,3,6,False,False,False,False,False,False,False,False,False,False,False,19,33,ANY_WETLAND; ANY_TEMPERATE_FOREST; FOREST_TROPICAL_CONIFER; FOREST_TROPICAL_DRY_BROADLEAF; ANY_SHRUBLAND; ANY_SAVANNA; ANY_GRASSLAND; ANY_DESERT,GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BARN_OWL_MAN' ends with _MAN or _WOMAN
BAT,bat,A tiny winged creature that hunts at night and rests in caves during the day.,creature_subterranean.txt,10,MAXAGE:2:3,100,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,12,15,SUBTERRANEAN_CHASM; NOT_FREEZING,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BAT_GIANT,giant bat,A giant flying mammal found underground.,creature_subterranean.txt,750,MAXAGE:10:20,200000,219,False,0,0,False,False,False,False,False,False,False,False,False,False,False,46,47,SUBTERRANEAN_CHASM,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BAT_MAN,bat man,A humanoid with the head of a bat and wings stretching from wrist to ankle.,creature_subterranean.txt,10,MAXAGE:20:30,100,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,12,15,SUBTERRANEAN_CHASM; NOT_FREEZING,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BAT_MAN' ends with _MAN or _WOMAN
BEAK_DOG,beak dog,"A creature from the evil swamp.  It resembles a squat, wingless bird with powerful beak and legs.  Its blotchy skin is brightly colored.",creature_standard.txt,50,MAXAGE:10:20,150000,195,True,5,10,False,False,False,False,False,False,False,False,True,False,False,45,57,MARSH_TEMPERATE_FRESHWATER; MARSH_TEMPERATE_SALTWATER; MARSH_TROPICAL_FRESHWATER; MARSH_TROPICAL_SALTWATER,GENERAL_POISON,False,False,False,False,False,False,True,
BEAR_BLACK,black bear,"A large omnivorous predator found in temperate woodlands.  Mainly living on berries, it will also steal carcasses from other hunters.  Though normally a docile animal, it has been known to kill in a predatory attack.",creature_large_temperate.txt,300,MAXAGE:20:30,120000,183,False,0,0,False,False,False,False,False,False,False,False,False,False,False,44,40,FOREST_TAIGA; ANY_TEMPERATE_FOREST,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BEAR_BLACK_MAN,black bear man,A large person with the head of a black bear.,creature_large_temperate.txt,300,MAXAGE:60:80,120000,183,False,0,0,False,False,False,False,False,False,False,False,False,False,False,44,40,FOREST_TAIGA; ANY_TEMPERATE_FOREST,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BEAR_BLACK_MAN' ends with _MAN or _WOMAN
BEAR_GRIZZLY,grizzly bear,"A huge brown creature found in temperate woodland.  It is known for its ferocious attack, usually when it or its young are threatened.",creature_large_temperate.txt,500,MAXAGE:20:30,200000,157,False,0,0,False,False,False,False,False,False,False,False,False,False,False,46,47,FOREST_TAIGA; ANY_TEMPERATE_FOREST,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BEAR_GRIZZLY_MAN,grizzly bear man,A large person with the head of a grizzly bear.,creature_large_temperate.txt,500,MAXAGE:60:80,200000,157,False,0,0,False,False,False,False,False,False,False,False,False,False,False,46,47,FOREST_TAIGA; ANY_TEMPERATE_FOREST,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BEAR_GRIZZLY_MAN' ends with _MAN or _WOMAN
BEAR_POLAR,polar bear,A huge predatory mammal covered in white hair.  It hunts the shores along tundra and glaciers.,creature_large_tundra.txt,750,MAXAGE:20:30,400000,219,False,0,0,False,False,False,False,False,False,False,False,False,False,False,49,48,GLACIER; TUNDRA,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BEAR_POLAR_MAN,polar bear man,A large person with the head of a polar bear.,creature_large_tundra.txt,750,MAXAGE:60:80,400000,219,False,0,0,False,False,False,False,False,False,False,False,False,False,False,49,48,GLACIER; TUNDRA,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BEAR_POLAR_MAN' ends with _MAN or _WOMAN
BEAR_SLOTH,sloth bear,A medium-sized mammal that lives in the trees.  It is known for its easy-going nature.,creature_tropical_new.txt,250,MAXAGE:20:40,100000,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,42,38,ANY_TROPICAL_FOREST,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BEAVER,beaver,"A small river mammal with a flat tail, known for building wooden dams.",creature_riverlakepool_new.txt,25,MAXAGE:15:20,20000,488,False,0,0,False,False,False,False,False,False,False,False,False,False,False,33,27,ANY_TEMPERATE_LAKE; ANY_TEMPERATE_RIVER,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
BEAVER_MAN,beaver man,A person with the head and flat tail of a beaver.,creature_riverlakepool_new.txt,25,MAXAGE:60:80,20000,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,35,27,ANY_TEMPERATE_LAKE; ANY_TEMPERATE_RIVER,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BEAVER_MAN' ends with _MAN or _WOMAN
BEETLE,beetle,A tiny insect that can be found almost anywhere outside.,creature_insects.txt,,MAXAGE:1:1,1,8775,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0,5,NOT_FREEZING,EDIBLE_GROUND_BUG; GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BEETLE_MAN,beetle man,A person with the carapace and head of a beetle.,creature_insects.txt,None,MAXAGE:60:80,1,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,12,5,NOT_FREEZING,EDIBLE_GROUND_BUG; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'BEETLE_MAN' ends with _MAN or _WOMAN
BIRD_ALBATROSS,albatross,A small sea bird with great wings.  It soars through the sky and dives for food on the surface of the water.,creature_birds_new.txt,10,MAXAGE:40:50,8000,251,True,1,1,False,False,False,False,False,False,False,False,False,False,False,32,37,ANY_OCEAN,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_BLUEJAY,blue jay,"A small blue-crested bird living in temperate woodlands, known for its harsh chirps.",creature_birds.txt,30,MAXAGE:10:20,100,157,True,2,7,False,False,False,False,False,False,False,False,False,False,False,13,29,GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE; SHRUBLAND_TEMPERATE; FOREST_TEMPERATE_BROADLEAF; FOREST_TEMPERATE_CONIFER,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BIRD_BUSHTIT,bushtit,A tiny brown bird found in open woodlands.,creature_birds_new.txt,30,MAXAGE:1:2,5,251,True,5,13,False,False,False,False,False,False,False,False,False,False,False,12,25,ANY_TEMPERATE_FOREST,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BIRD_BUZZARD,buzzard,"A medium-sized, red-faced black bird that searches the temperate lands for carrion.",creature_large_temperate.txt,30,MAXAGE:10:20,1400,251,True,2,3,False,False,False,False,False,False,False,False,False,False,False,24,34,MARSH_TEMPERATE_FRESHWATER; MARSH_TEMPERATE_SALTWATER; GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE; ANY_DESERT,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_CARDINAL,cardinal,"A small bright red bird with a distinctive crest, found in temperate forests.",creature_birds.txt,30,MAXAGE:10:20,50,157,True,2,5,False,False,False,False,False,False,False,False,False,False,False,13,27,GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE; SHRUBLAND_TEMPERATE; FOREST_TEMPERATE_BROADLEAF; FOREST_TEMPERATE_CONIFER,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BIRD_CASSOWARY,cassowary,"A small, flightless, brightly-colored bird.",creature_birds_new.txt,100,MAXAGE:40:50,50000,251,True,3,6,False,False,False,False,False,False,False,False,False,False,False,39,43,FOREST_TROPICAL_MOIST_BROADLEAF,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_CHICKEN,chicken,A small domestic bird capable of flying short distances.  It is prized for its tasty eggs.,creature_domestic.txt,10,MAXAGE:7:15,3000,627,True,4,15,False,False,False,False,False,False,False,False,False,False,False,24,39,,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_COCKATIEL,cockatiel,A tiny crested parrot.  They are prized as domestic companions.,creature_birds_new.txt,30,MAXAGE:15:30,90,251,True,2,8,False,False,False,False,False,False,False,False,False,False,False,12,29,ANY_DESERT; GRASSLAND_TEMPERATE,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BIRD_CROW,crow,"A small black bird that feeds on carrion.  It is social, very intelligent and knows how to use tools.",creature_birds_new.txt,10,MAXAGE:10:15,500,251,True,4,6,False,False,False,False,False,False,False,False,False,False,False,19,33,GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE; SHRUBLAND_TEMPERATE; FOREST_TAIGA; ANY_TEMPERATE_FOREST; ANY_TEMPERATE_WETLAND,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BIRD_DUCK,duck,A small water bird.  It has a long neck and powerful legs meant for swimming and diving.,creature_domestic.txt,10,MAXAGE:7:9,1000,137,True,8,13,False,False,False,False,False,False,False,False,False,False,False,24,37,ANY_LAKE; ANY_WETLAND,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_EAGLE,eagle,A small bird of prey.,creature_birds_new.txt,25,MAXAGE:20:30,4000,251,True,1,3,False,False,False,False,False,False,False,False,False,False,False,29,36,ANY_WETLAND; ANY_FOREST; ANY_SHRUBLAND; ANY_SAVANNA; ANY_GRASSLAND; ANY_DESERT; MOUNTAIN; TUNDRA,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_EMU,emu,A large flightless bird.  It is very curious and has been known to follow other creatures.,creature_birds_new.txt,100,MAXAGE:15:25,35000,251,True,5,15,False,False,False,False,False,False,False,False,False,False,False,38,45,SHRUBLAND_TEMPERATE; ANY_TEMPERATE_FOREST,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_FALCON_PEREGRINE,peregrine falcon,A small bird of prey that is capable of great speed.  They dive on unsuspecting vermin.,creature_birds.txt,25,MAXAGE:12:15,600,100,True,3,4,False,False,False,False,False,False,False,False,False,False,False,22,33,ANY_WETLAND; ANY_TEMPERATE_FOREST; FOREST_TROPICAL_CONIFER; FOREST_TROPICAL_DRY_BROADLEAF; FOREST_TAIGA; ANY_SHRUBLAND; ANY_SAVANNA; ANY_GRASSLAND; ANY_DESERT; MOUNTAIN; TUNDRA,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_GOOSE,goose,A small migratory bird.  It has a very long neck and can be found in lakes and other bodies of water.,creature_domestic.txt,10,MAXAGE:10:24,4500,137,True,3,8,False,False,False,False,False,False,False,False,False,False,False,30,38,ANY_TEMPERATE_LAKE; ANY_TEMPERATE_MARSH,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_GRACKLE,grackle,"A small gregarious bird, blue and black with yellow eyes, found in temperate pastures.",creature_birds.txt,30,MAXAGE:10:20,120,157,True,1,7,False,False,False,False,False,False,False,False,False,False,False,14,29,GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
BIRD_GUINEAFOWL,guineafowl,A small ground-dwelling bird.  It has a featherless head and eats seeds and insects.  It moves about in groups.,creature_domestic.txt,10,MAXAGE:10:15,1500,439,True,4,15,False,False,False,False,False,False,False,False,False,False,False,22,38,,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_HORNBILL,hornbill,"A tiny bird with a large, brightly-colored bill.",creature_birds_new.txt,25,MAXAGE:35:40,2500,251,True,1,4,False,False,False,False,False,False,False,False,False,False,False,26,35,ANY_TROPICAL_FOREST,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_KAKAPO,kakapo,A small flightless green parrot.  It is nocturnal and counts itself among the longest-lived birds.,creature_birds_new.txt,50,MAXAGE:60:120,3000,2925,True,1,4,False,False,False,False,False,False,False,False,False,False,False,15,36,SHRUBLAND_TEMPERATE; SAVANNA_TEMPERATE; GRASSLAND_TEMPERATE; ANY_TEMPERATE_FOREST,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_KEA,kea,"A small, green, intelligent mountain parrot.",creature_birds_new.txt,25,MAXAGE:30:50,1000,251,True,2,5,False,False,False,False,False,False,False,False,False,False,False,22,34,ANY_TEMPERATE_FOREST; SHRUBLAND_TEMPERATE; MOUNTAIN,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_KESTREL,kestrel,A tiny bird of prey.  It hovers above the ground and swoops down to snatch rodents and mice.,creature_birds_new.txt,25,MAXAGE:10:20,250,251,True,3,6,False,False,False,False,False,False,False,False,False,False,False,16,31,MARSH_TROPICAL_FRESHWATER; MARSH_TROPICAL_SALTWATER; MARSH_TEMPERATE_FRESHWATER; MARSH_TEMPERATE_SALTWATER; ANY_SHRUBLAND; ANY_SAVANNA; ANY_GRASSLAND,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_KIWI,kiwi,"A small, brown, flightless bird.  It eats insects and grubs and is known for its keen sense of smell.",creature_birds.txt,10,MAXAGE:20:50,2500,439,True,1,2,False,False,False,False,False,False,False,False,False,False,False,25,35,ANY_TEMPERATE_FOREST; SHRUBLAND_TEMPERATE,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_KIWI_GIANT,giant kiwi,A large monster with a long nose and brown feathers.,creature_birds.txt,1000,MAXAGE:20:50,2500,439,True,1,2,False,False,False,False,False,False,False,False,False,False,False,25,50,ANY_TEMPERATE_FOREST; SHRUBLAND_TEMPERATE,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_LOON,loon,A small water bird found in remote lakes.  It is known for its haunting call.,creature_birds_new.txt,10,MAXAGE:25:30,6000,251,True,2,4,False,False,False,False,False,False,False,False,False,False,False,30,37,LAKE_TEMPERATE_SALTWATER; LAKE_TEMPERATE_BRACKISHWATER; LAKE_TEMPERATE_FRESHWATER,GENERAL_POISON,False,False,False,False,False,False,True,
BIRD_LORIKEET,lorikeet,"A tiny, brightly-colored tree parrot.  It uses its tongue to feed on plants.",creature_birds_new.txt,30,MAXAGE:15:30,200,251,True,2,2,False,False,False,False,False,False,False,False,False,False,False,16,30,FOREST_TROPICAL_MOIST_BROADLEAF; SWAMP_MANGROVE,GENERAL_POISON,False,False,False,False,False,False,False,TAG_EXCLUSION: creature has [SMALL_REMAINS]
